"";"Pixel_ID";"year_start";"year_model"
"1";23;2019;2022
"2";41;2019;2022
"3";42;2019;2022
"4";61;2019;2022
"5";62;2019;2022
"6";86;2019;2022
"7";87;2019;2022
"8";110;2019;2022
"9";111;2019;2022
"10";135;2019;2022
"11";136;2019;2022
"12";137;2019;2022
"13";168;2019;2022
"14";253;2019;2022
"15";254;2019;2022
"16";298;2019;2022
"17";299;2019;2022
"18";300;2019;2022
"19";301;2019;2022
"20";355;2019;2022
"21";356;2019;2022
"22";359;2019;2022
"23";423;2019;2022
"24";424;2019;2022
"25";425;2019;2022
"26";426;2019;2022
"27";427;2019;2022
"28";428;2019;2022
"29";432;2019;2022
"30";433;2019;2022
"31";502;2019;2022
"32";503;2019;2022
"33";504;2019;2022
"34";592;2019;2022
"35";598;2019;2022
"36";684;2019;2022
"37";689;2019;2022
"38";691;2019;2022
"39";693;2019;2022
"40";694;2019;2022
"41";781;2019;2022
"42";782;2019;2022
"43";783;2019;2022
"44";793;2019;2022
"45";794;2019;2022
"46";885;2019;2022
"47";886;2019;2022
"48";887;2019;2022
"49";888;2019;2022
"50";889;2019;2022
"51";890;2019;2022
"52";894;2019;2022
"53";898;2019;2022
"54";899;2019;2022
"55";900;2019;2022
"56";901;2019;2022
"57";992;2019;2022
"58";993;2019;2022
"59";994;2019;2022
"60";995;2019;2022
"61";1002;2019;2022
"62";1007;2019;2022
"63";1008;2019;2022
"64";1102;2019;2022
"65";1117;2019;2022
"66";1118;2019;2022
"67";1119;2019;2022
"68";1213;2019;2022
"69";1214;2019;2022
"70";1215;2019;2022
"71";1216;2019;2022
"72";1217;2019;2022
"73";1225;2019;2022
"74";1226;2019;2022
"75";1227;2019;2022
"76";1229;2019;2022
"77";1230;2019;2022
"78";1324;2019;2022
"79";1325;2019;2022
"80";1326;2019;2022
"81";1327;2019;2022
"82";1328;2019;2022
"83";1329;2019;2022
"84";1330;2019;2022
"85";1331;2019;2022
"86";1336;2019;2022
"87";1337;2019;2022
"88";1338;2019;2022
"89";1340;2019;2022
"90";1343;2019;2022
"91";1439;2019;2022
"92";1440;2019;2022
"93";1441;2019;2022
"94";1442;2019;2022
"95";1443;2019;2022
"96";1444;2019;2022
"97";1450;2019;2022
"98";1452;2019;2022
"99";1453;2019;2022
"100";1554;2019;2022
"101";1555;2019;2022
"102";1556;2019;2022
"103";1557;2019;2022
"104";1558;2019;2022
"105";1559;2019;2022
"106";1562;2019;2022
"107";1564;2019;2022
"108";1670;2019;2022
"109";1671;2019;2022
"110";1672;2019;2022
"111";1674;2019;2022
"112";1675;2019;2022
"113";1676;2019;2022
"114";1677;2019;2022
"115";1678;2019;2022
"116";1782;2019;2022
"117";1783;2019;2022
"118";1784;2019;2022
"119";1786;2019;2022
"120";1787;2019;2022
"121";1895;2019;2022
"122";1900;2019;2022
"123";2010;2019;2022
"124";2012;2019;2022
"125";2013;2019;2022
"126";2014;2019;2022
"127";2019;2019;2022
"128";2020;2019;2022
"129";2118;2019;2022
"130";2123;2019;2022
"131";2124;2019;2022
"132";2125;2019;2022
"133";2130;2019;2022
"134";2131;2019;2022
"135";2210;2019;2022
"136";2234;2019;2022
"137";2235;2019;2022
"138";2236;2019;2022
"139";2239;2019;2022
"140";2240;2019;2022
"141";2241;2019;2022
"142";2242;2019;2022
"143";2243;2019;2022
"144";2344;2019;2022
"145";2346;2019;2022
"146";2350;2019;2022
"147";2351;2019;2022
"148";2352;2019;2022
"149";2353;2019;2022
"150";2354;2019;2022
"151";2458;2019;2022
"152";2459;2019;2022
"153";2460;2019;2022
"154";2463;2019;2022
"155";2567;2019;2022
"156";2570;2019;2022
"157";2571;2019;2022
"158";2572;2019;2022
"159";2674;2019;2022
"160";2678;2019;2022
"161";3079;2019;2022
"162";3080;2019;2022
"163";3082;2019;2022
"164";3184;2019;2022
"165";3185;2019;2022
"166";3186;2019;2022
"167";3376;2019;2022
